cod_dane,elev_media,elev_min,pendiente_media,pendiente_min,pct_plano,flujo_acum_media,flujo_acum_max,agua_ocurrencia,twi_medio
05579,302.9638332322245,79,9.649438489481952,0.0,0.0990667611206806,1780.825283207137,350835,0.5803910882959319,3.8255324654706238
05004,2371.3589198468553,1367,25.954898264721656,0.0,0.0030531849638622916,31.583092849649027,1435,5.33238195377841E-5,2.354864135938863
05885,907.6198145525941,328,15.804496090780601,0.0,0.012696226522950098,119.09766747057284,4423,1.9635816366640738E-4,3.086624084286406
05086,2797.08723581764,2399,15.415580695409965,0.0,0.013116255650811015,18.940254498754477,756,0.0,2.887808387844585
05411,1718.1860243858898,371,29.761405611513403,0.0,0.001328654607546519,3229.9381851851836,160719,0.12326925223034853,2.3156877173247676
05150,2014.692905119874,1175,15.380797182966575,0.0,0.04141076160211572,43.60197266316211,1923,2.9230334427376254,3.1398047651881047
05890,1151.7648083013578,164,16.05331671690035,0.0,0.012182517323936253,152.28246698995463,13885,0.034430129398214146,2.9678146785315227
05310,1496.8369609292083,675,17.807567790078846,0.0,0.013497197346397101,331.4502976880436,14502,0.43631706441578566,2.9744403453389165
05873,153.7612791588722,-29,7.033062273086831,0.0,0.21647402004733948,1370.2297033265913,87988,2.5793554076003598,4.422585123810735
05658,2784.159815136194,2085,14.86904319364551,0.0,0.011711251299375225,19.301977975400252,633,0.0,2.9811844707600472
05686,2439.403438280922,1042,13.849817580002401,0.0,0.014496768841554689,91.76114873845931,11721,0.07353617609569567,3.147740639958036
05284,1256.341794893228,111,20.235484953714,0.0,0.02148554429749622,99.5415125511305,14522,0.03572368235031333,2.7816370197814684
05315,1545.368821471169,607,22.487195402697985,0.0,0.0037482975035353218,193.56496443772244,16895,0.1006646569897662,2.5634051226173504
05038,2066.6069976764347,1183,16.087103103258233,0.0,0.008484901666646071,66.71574613324356,2328,2.8899191291329417E-4,3.025612031573811
05113,1656.6914648541458,326,30.25169532711111,0.0,0.0011317038967602066,2240.600421467278,162572,0.13684209789190774,2.2023640182425606
05138,1770.0777185012957,792,27.914785403928274,0.0,0.0012115469983238522,44.03932762073211,3244,1.2051699956363289E-6,2.26290249346721
